3K_DNA_IRIS_UNIQUE_ID;TYPE
IRIS-313-10000;ind1B
IRIS-313-10001;ind1B
IRIS-313-10002;ind1B
IRIS-313-10007;indx
IRIS-313-10010;ind2
IRIS-313-10014;temp
IRIS-313-10016;indx
IRIS-313-10020;aus
IRIS-313-10025;admix
IRIS-313-10026;ind2
IRIS-313-10030;ind2
IRIS-313-10032;aro
IRIS-313-10034;indx
IRIS-313-10035;ind2
IRIS-313-10040;ind1B
IRIS-313-10041;trop1
IRIS-313-10045;indx
IRIS-313-10046;ind1B
IRIS-313-10047;ind1A
IRIS-313-10048;indx
IRIS-313-10050;indx
IRIS-313-10051;trop1
IRIS-313-10054;indx
IRIS-313-10056;trop2
IRIS-313-10057;temp
IRIS-313-10059;temp
IRIS-313-10061;japx
IRIS-313-10062;trop1
IRIS-313-10065;trop1
IRIS-313-10067;trop1
IRIS-313-10071;trop1
IRIS-313-10073;trop1
IRIS-313-10074;trop1
IRIS-313-10075;trop1
IRIS-313-10076;trop1
IRIS-313-10077;indx
IRIS-313-10078;trop1
IRIS-313-10079;trop1
IRIS-313-10080;trop1
IRIS-313-10082;trop1
IRIS-313-10083;temp
IRIS-313-10084;temp
IRIS-313-10089;temp
IRIS-313-10092;temp
IRIS-313-10093;temp
IRIS-313-10094;trop1
IRIS-313-10096;japx
IRIS-313-10097;temp
IRIS-313-10099;trop1
IRIS-313-10102;ind2
IRIS-313-10103;indx
IRIS-313-10109;ind3
IRIS-313-10111;japx
IRIS-313-10113;indx
IRIS-313-10114;ind2
IRIS-313-10119;japx
IRIS-313-10124;temp
IRIS-313-10129;ind1A
IRIS-313-10134;ind3
IRIS-313-10147;ind3
IRIS-313-10148;indx
IRIS-313-10150;aus
IRIS-313-10151;ind3
IRIS-313-10152;trop1
IRIS-313-10154;ind1A
IRIS-313-10158;indx
IRIS-313-10161;ind1B
IRIS-313-10164;temp
IRIS-313-10167;indx
IRIS-313-10168;indx
IRIS-313-10170;ind1A
IRIS-313-10171;ind1A
IRIS-313-10176;trop2
IRIS-313-10177;indx
IRIS-313-10178;ind1A
IRIS-313-10179;indx
IRIS-313-10189;ind1A
IRIS-313-10190;ind1A
IRIS-313-10191;ind1A
IRIS-313-10196;trop1
IRIS-313-10211;ind1A
IRIS-313-10220;indx
IRIS-313-10221;indx
IRIS-313-10224;ind1A
IRIS-313-10226;indx
IRIS-313-10228;temp
IRIS-313-10234;ind1B
IRIS-313-10235;indx
IRIS-313-10237;ind1B
IRIS-313-10238;ind1B
IRIS-313-10239;indx
IRIS-313-10242;temp
IRIS-313-10247;ind1B
IRIS-313-10257;indx
IRIS-313-10258;temp
IRIS-313-10260;indx
IRIS-313-10263;indx
IRIS-313-10268;indx
IRIS-313-10271;indx
IRIS-313-10272;japx
IRIS-313-10274;ind1B
IRIS-313-10275;indx
IRIS-313-10279;indx
IRIS-313-10285;indx
IRIS-313-10287;ind1B
IRIS-313-10289;ind1B
IRIS-313-10290;ind1B
IRIS-313-10293;ind1B
IRIS-313-10294;indx
IRIS-313-10295;admix
IRIS-313-10298;ind1B
IRIS-313-10300;indx
IRIS-313-10301;indx
IRIS-313-10307;indx
IRIS-313-10314;indx
IRIS-313-10318;indx
IRIS-313-10325;indx
IRIS-313-10327;trop1
IRIS-313-10332;indx
IRIS-313-10333;ind1B
IRIS-313-10334;ind1B
IRIS-313-10336;trop1
IRIS-313-10337;indx
IRIS-313-10340;indx
IRIS-313-10341;indx
IRIS-313-10348;indx
IRIS-313-10349;indx
IRIS-313-10352;indx
IRIS-313-10353;indx
IRIS-313-10355;indx
IRIS-313-10357;indx
IRIS-313-10359;indx
IRIS-313-10360;indx
IRIS-313-10361;indx
IRIS-313-10366;indx
IRIS-313-10371;indx
IRIS-313-10373;temp
IRIS-313-10374;indx
IRIS-313-10375;indx
IRIS-313-10379;temp
IRIS-313-10380;aus
IRIS-313-10385;ind1B
IRIS-313-10392;ind1B
IRIS-313-10394;indx
IRIS-313-10396;indx
IRIS-313-10397;ind1B
IRIS-313-10398;ind1B
IRIS-313-10399;indx
IRIS-313-10400;ind1B
IRIS-313-10401;ind1B
IRIS-313-10402;ind1B
IRIS-313-10403;indx
IRIS-313-10404;indx
IRIS-313-10412;indx
IRIS-313-10417;ind1B
IRIS-313-10421;indx
IRIS-313-10422;indx
IRIS-313-10423;indx
IRIS-313-10428;ind3
IRIS-313-10429;temp
IRIS-313-10430;temp
IRIS-313-10433;indx
IRIS-313-10437;temp
IRIS-313-10440;temp
IRIS-313-10441;indx
IRIS-313-10444;trop1
IRIS-313-10448;ind3
IRIS-313-10449;ind1A
IRIS-313-10450;ind1A
IRIS-313-10452;ind1A
IRIS-313-10453;japx
IRIS-313-10458;ind1A
IRIS-313-10459;japx
IRIS-313-10469;temp
IRIS-313-10476;ind2
IRIS-313-10477;indx
IRIS-313-10480;indx
IRIS-313-10484;ind1A
IRIS-313-10485;trop1
IRIS-313-10489;trop1
IRIS-313-10497;ind1A
IRIS-313-10502;ind1A
IRIS-313-10503;ind1A
IRIS-313-10504;ind1A
IRIS-313-10506;ind3
IRIS-313-10507;trop1
IRIS-313-10509;ind3
IRIS-313-10510;indx
IRIS-313-10511;ind3
IRIS-313-10513;indx
IRIS-313-10514;indx
IRIS-313-10515;ind1A
IRIS-313-10516;indx
IRIS-313-10517;ind3
IRIS-313-10518;indx
IRIS-313-10519;ind2
IRIS-313-10520;indx
IRIS-313-10521;aro
IRIS-313-10522;admix
IRIS-313-10523;indx
IRIS-313-10524;ind3
IRIS-313-10525;ind3
IRIS-313-10526;ind2
IRIS-313-10527;ind2
IRIS-313-10531;admix
IRIS-313-10534;aus
IRIS-313-10536;ind2
IRIS-313-10537;admix
IRIS-313-10539;ind2
IRIS-313-10541;trop1
IRIS-313-10542;ind2
IRIS-313-10543;aus
IRIS-313-10544;ind2
IRIS-313-10545;aus
IRIS-313-10547;indx
IRIS-313-10549;aus
IRIS-313-10550;indx
IRIS-313-10552;trop1
IRIS-313-10554;ind3
IRIS-313-10555;ind3
IRIS-313-10556;ind3
IRIS-313-10557;ind3
IRIS-313-10558;temp
IRIS-313-10559;temp
IRIS-313-10560;ind1A
IRIS-313-10561;ind1A
IRIS-313-10562;japx
IRIS-313-10563;temp
IRIS-313-10564;temp
IRIS-313-10565;indx
IRIS-313-10566;indx
IRIS-313-10567;temp
IRIS-313-10568;temp
IRIS-313-10569;temp
IRIS-313-10570;temp
IRIS-313-10572;indx
IRIS-313-10573;ind2
IRIS-313-10574;indx
IRIS-313-10575;indx
IRIS-313-10576;ind2
IRIS-313-10577;trop1
IRIS-313-10578;trop1
IRIS-313-10580;trop1
IRIS-313-10581;trop1
IRIS-313-10582;trop1
IRIS-313-10583;temp
IRIS-313-10585;admix
IRIS-313-10587;aus
IRIS-313-10592;aus
IRIS-313-10593;aus
IRIS-313-10594;aus
IRIS-313-10595;aus
IRIS-313-10598;aus
IRIS-313-10600;aus
IRIS-313-10602;aus
IRIS-313-10603;aus
IRIS-313-10604;aus
IRIS-313-10605;aus
IRIS-313-10606;aus
IRIS-313-10608;aus
IRIS-313-10609;indx
IRIS-313-10610;ind2
IRIS-313-10614;indx
IRIS-313-10617;temp
IRIS-313-10618;temp
IRIS-313-10619;trop1
IRIS-313-10620;trop1
IRIS-313-10623;aus
IRIS-313-10628;ind2
IRIS-313-10631;temp
IRIS-313-10640;ind2
IRIS-313-10642;temp
IRIS-313-10644;trop1
IRIS-313-10645;trop1
IRIS-313-10648;ind3
IRIS-313-10649;trop1
IRIS-313-10650;ind3
IRIS-313-10651;indx
IRIS-313-10652;ind3
IRIS-313-10653;trop2
IRIS-313-10654;ind3
IRIS-313-10655;indx
IRIS-313-10656;trop2
IRIS-313-10657;trop2
IRIS-313-10659;ind3
IRIS-313-10660;trop2
IRIS-313-10661;ind2
IRIS-313-10662;ind2
IRIS-313-10664;ind2
IRIS-313-10666;indx
IRIS-313-10667;ind2
IRIS-313-10668;indx
IRIS-313-10670;aro
IRIS-313-10671;indx
IRIS-313-10673;aus
IRIS-313-10674;indx
IRIS-313-10675;indx
IRIS-313-10676;admix
IRIS-313-10677;temp
IRIS-313-10678;ind2
IRIS-313-10679;trop2
IRIS-313-10680;ind3
IRIS-313-10681;ind3
IRIS-313-10682;ind3
IRIS-313-10683;ind3
IRIS-313-10684;ind3
IRIS-313-10687;ind3
IRIS-313-10688;ind3
IRIS-313-10689;trop1
IRIS-313-10690;ind3
IRIS-313-10692;ind3
IRIS-313-10693;trop1
IRIS-313-10694;ind3
IRIS-313-10695;ind3
IRIS-313-10697;ind3
IRIS-313-10698;ind3
IRIS-313-10699;ind3
IRIS-313-10700;ind3
IRIS-313-10701;ind3
IRIS-313-10702;ind3
IRIS-313-10703;trop1
IRIS-313-10704;trop1
IRIS-313-10705;indx
IRIS-313-10706;ind3
IRIS-313-10707;ind3
IRIS-313-10708;trop1
IRIS-313-10710;trop1
IRIS-313-10711;trop1
IRIS-313-10712;trop1
IRIS-313-10715;ind2
IRIS-313-10716;ind2
IRIS-313-10717;ind2
IRIS-313-10718;aus
IRIS-313-10719;ind2
IRIS-313-10720;indx
IRIS-313-10721;ind2
IRIS-313-10722;trop1
IRIS-313-10723;ind2
IRIS-313-10724;ind3
IRIS-313-10725;indx
IRIS-313-10726;ind3
IRIS-313-10727;ind3
IRIS-313-10728;indx
IRIS-313-10729;admix
IRIS-313-10730;trop1
IRIS-313-10731;ind1A
IRIS-313-10732;aro
IRIS-313-10733;indx
IRIS-313-10734;aus
IRIS-313-10735;aus
IRIS-313-10736;aus
IRIS-313-10737;aus
IRIS-313-10738;admix
IRIS-313-10739;indx
IRIS-313-10740;trop1
IRIS-313-10741;trop1
IRIS-313-10742;ind3
IRIS-313-10743;trop1
IRIS-313-10744;trop1
IRIS-313-10745;trop1
IRIS-313-10746;trop1
IRIS-313-10747;trop1
IRIS-313-10748;indx
IRIS-313-10749;ind3
IRIS-313-10750;ind3
IRIS-313-10751;indx
IRIS-313-10752;trop1
IRIS-313-10753;ind1B
IRIS-313-10754;indx
IRIS-313-10755;ind3
IRIS-313-10756;ind2
IRIS-313-10757;ind3
IRIS-313-10758;trop1
IRIS-313-10759;trop1
IRIS-313-10760;ind3
IRIS-313-10761;trop1
IRIS-313-10762;ind3
IRIS-313-10765;trop1
